Title,IMDb Rating,Year,Genre,Director
Original Sin,6,2001,Drama,Michael Cristofer
Cold Mountain,7.2,2003,Adventure,Anthony Minghella
Cloverfield,7,2008,Action,Matt Reeves
The Croods: A New Age,6.9,2020,Animation,Joel Crawford
The Green Inferno,5.3,2013,Adventure,Eli Roth
Thelma & Louise,7.5,1991,Adventure,Ridley Scott
The Call of the Wild,6.7,2020,Adventure,Chris Sanders
Good Morning Vietnam,7.3,1987,Biography,Barry Levinson
I Know What You Did Last Summer,5.8,1997,Horror,Jim Gillespie
Lolita,7.5,1962,Crime,Stanley Kubrick
Indiana Jones and the Kingdom of the Crystal Skull,6.2,2008,Action,Steven Spielberg
Little Shop of Horrors,7.1,1986,Comedy,Frank Oz
Carrie,5.9,2013,Drama,Kimberly Peirce
Dark City,7.6,1998,Fantasy,Alex Proyas
Master and Commander: The Far Side of the World,7.4,2003,Action,Peter Weir
Chef,7.3,2014,Adventure,Jon Favreau
Chappie,6.8,2015,Action,Neill Blomkamp
U.S. Marshals,6.5,1998,Action,Stuart Baird
The Dry,6.9,2020,Crime,Robert Connolly
The Mask of Zorro,6.8,1998,Action,Martin Campbell
Ghost in the Shell,6.3,2017,Action,Rupert Sanders
Earthquake Bird,5.9,2019,Crime,Wash Westmoreland
The Unholy,5.1,2021,Drama,Evan Spiliotopoulos
Babardeala cu bucluc sau porno balamuc,6.6,2021,Comedy,Radu Jude
John and the Hole,5.3,2021,Drama,Pascual Sisto
Jolt,5.6,2021,Action,Tanya Wexler
Nosferatu eine Symphonie des Grauens,7.9,1922,Fantasy,F.W. Murnau
2 Fast 2 Furious,5.9,2003,Action,John Singleton
Central Intelligence,6.3,2016,Action,Rawson Marshall Thurber
Big,7.3,1988,Comedy,Penny Marshall
Clash of the Titans,6.9,1981,Action,Desmond Davis
The Giver,6.4,2014,Drama,Phillip Noyce
Fa yeung nin wah,8.1,2000,Drama,Kar-Wai Wong
Paul,6.9,2011,Adventure,Greg Mottola
Mission: Impossible - Ghost Protocol,7.4,2011,Action,Brad Bird
Remember Me,7.1,2010,Drama,Allen Coulter
Malcolm & Marie,6.6,2021,Drama,Sam Levinson
Encino Man,5.8,1992,Comedy,Les Mayfield
The Island,6.8,2005,Action,Michael Bay
Why Him?,6.2,2016,Comedy,John Hamburg
Knowing,6.2,2009,Action,Alex Proyas
The Craft,6.4,1996,Drama,Andrew Fleming
Big Gold Brick,3.4,2022,Comedy,Brian Petsos
Per un pugno di dollari,7.9,1964,Action,Sergio Leone
An American Werewolf in London,7.5,1981,Comedy,John Landis
Beoning,7.5,2018,Drama,Lee Chang-dong
The Professionals,7.3,1966,Action,Richard Brooks
Hollywoodland,6.5,2006,Biography,Allen Coulter
Scent of a Woman,8,1992,Drama,Martin Brest
The Descendants,7.3,2011,Comedy,Alexander Payne
Neighbors,6.3,2014,Comedy,Nicholas Stoller
Robin Hood,6.6,2010,Action,Ridley Scott
Riddick,6.4,2013,Action,David Twohy
Deja Vu,7.1,2006,Action,Tony Scott
Crocodile Dundee,6.6,1986,Action,Peter Faiman
Zola,6.5,2020,Comedy,Janicza Bravo
Resident Evil: Apocalypse,6.1,2004,Action,Alexander Witt
Into the Woods,5.9,2014,Adventure,Rob Marshall
Nightmare Alley,7.7,1947,Drama,Edmund Goulding
Eastern Promises,7.6,2007,Crime,David Cronenberg
Richard Jewell,7.5,2019,Biography,Clint Eastwood
Serbuan maut,7.6,2011,Action,Gareth Evans
Cheaper by the Dozen 2,5.5,2005,Adventure,Adam Shankman
Mad Max 2,7.6,1981,Action,George Miller
Lethal Weapon,7.6,1987,Action,Richard Donner
The Happening,5,2008,Adventure,M. Night Shyamalan
Catwoman,3.4,2004,Action,Pitof
Pacific Rim: Uprising,5.6,2018,Action,Steven S. DeKnight
You Don't Mess with the Zohan,5.6,2008,Action,Dennis Dugan
Grizzly II: The Predator,2.9,2020,Horror,André Szöts
The Longest Ride,7.1,2015,Comedy,George Tillman Jr.
Enter the Void,7.2,2009,Drama,Gaspar Noé
Colombiana,6.4,2011,Action,Olivier Megaton
Shiva Baby,7.1,2020,Comedy,Emma Seligman
Tomorrow Never Dies,6.5,1997,Action,Roger Spottiswoode
The Babysitters,5.6,2007,Drama,David Ross
Pieces of a Woman,7,2020,Drama,Kornél Mundruczó
The Color Purple,7.7,1985,Drama,Steven Spielberg
Robin Hood: Prince of Thieves,6.9,1991,Action,Kevin Reynolds
The Chronicles of Riddick,6.6,2004,Action,David Twohy
The Hills Have Eyes,6.4,2006,Horror,Alexandre Aja
Layer Cake,7.3,2004,Action,Matthew Vaughn
Overboard,6.9,1987,Comedy,Garry Marshall
American Reunion,6.7,2012,Comedy,Jon Hurwitz
12 Strong,6.5,2018,Action,Nicolai Fuglsig
Tom & Jerry,5.2,2021,Animation,Tim Story
Prisoners of the Ghostland,4.2,2021,Action,Sion Sono
Transformers: Revenge of the Fallen,5.9,2009,Action,Michael Bay
I Love You Beth Cooper,5.3,2009,Comedy,Chris Columbus
The Little Rascals,6.3,1994,Comedy,Penelope Spheeris
Anchorman: The Legend of Ron Burgundy,7.1,2004,Comedy,Adam McKay
Emma,6.6,1996,Comedy,Douglas McGrath
The Birdcage,7.1,1996,Comedy,Mike Nichols
Foxcatcher,7,2014,Biography,Bennett Miller
Bad Boys II,6.6,2003,Action,Michael Bay
Lilo & Stitch,7.3,2002,Animation,Chris Sanders
A River Runs Through It,7.2,1992,Drama,Robert Redford
Underworld: Blood Wars,5.7,2016,Action,Anna Foerster
Romeo and Juliet,7.6,1968,Drama,Franco Zeffirelli
Downsizing,5.7,2017,Drama,Alexander Payne
Okja,7.3,2017,Action,Bong Joon Ho
Man of God,7.2,2021,Biography,Yelena Popovic
Sweeney Todd: The Demon Barber of Fleet Street,7.3,2007,Drama,Tim Burton
Contact,7.5,1997,Drama,Robert Zemeckis
Ruby Sparks,7.2,2012,Comedy,Jonathan Dayton
28 Weeks Later,6.9,2007,Action,Juan Carlos Fresnadillo
Bound,7.3,1996,Crime,Lilly Wachowski
Annabelle,5.4,2014,Horror,John R. Leonetti
We Can Be Heroes,4.8,2020,Action,Robert Rodriguez
Anna Karenina,6.6,2012,Drama,Joe Wright
Ang-ma-reul bo-at-da,7.8,2010,Action,Jee-woon Kim
Bronson,7,2008,Action,Nicolas Winding Refn
Everest,7.1,2015,Action,Baltasar Kormákur
Red Riding Hood,5.4,2011,Fantasy,Catherine Hardwicke
Dawn of the Dead,7.8,1978,Horror,George A. Romero
The Karate Kid,6.2,2010,Action,Harald Zwart
The Disaster Artist,7.3,2017,Biography,James Franco
Harriet,6.6,2019,Action,Kasi Lemmons
Point Break,5.3,2015,Action,Ericson Core
Steel Magnolias,7.3,1989,Comedy,Herbert Ross
Night Teeth,5.6,2021,Action,Adam Randall
Dredd,7.1,2012,Action,Pete Travis
Insomnia,7.2,2002,Drama,Christopher Nolan
The Intern,7.1,2015,Comedy,Nancy Meyers
Jumper,6.1,2008,Action,Doug Liman
Hellraiser,6.9,1987,Horror,Clive Barker
Bridge of Spies,7.6,2015,Drama,Steven Spielberg
Columbus,7.2,2017,Drama,Kogonada
Sideways,7.5,2004,Comedy,Alexander Payne
Spartacus,7.9,1960,Adventure,Stanley Kubrick
Barry Lyndon,8.1,1975,Adventure,Stanley Kubrick
Machete,6.6,2010,Action,Ethan Maniquis
Adventures in Babysitting,6.9,1987,Adventure,Chris Columbus
Without Remorse,5.7,2021,Action,Stefano Sollima
The Adventures of Sharkboy and Lavagirl 3-D,3.6,2005,Action,Robert Rodriguez
Ice Age: Collision Course,5.6,2016,Animation,Galen T. Chu
Day of the Dead,7.1,1985,Horror,George A. Romero
The Texas Chainsaw Massacre,6.2,2003,Crime,Marcus Nispel
Stuber,6.1,2019,Action,Michael Dowse
The Jungle Book,7.4,2016,Adventure,Jon Favreau
Hugo,7.5,2011,Adventure,Martin Scorsese
A Streetcar Named Desire,7.9,1951,Drama,Elia Kazan
She's Out of My League,6.4,2010,Comedy,Jim Field Smith
The Dukes of Hazzard,5.1,2005,Comedy,Jay Chandrasekhar
Superhero Movie,4.6,2008,Action,Craig Mazin
Minions,6.4,2015,Animation,Pierre Coffin
Bruce Almighty,6.7,2003,Comedy,Tom Shadyac
Raising Arizona,7.3,1987,Comedy,Joel Coen
Talladega Nights: The Ballad of Ricky Bobby,6.6,2006,Comedy,Adam McKay
The Others,7.6,2001,Horror,Alejandro Amenábar
The Adventures of Robin Hood,7.9,1938,Action,Michael Curtiz
Eraserhead,7.3,1977,Fantasy,David Lynch
Red Dawn,5.3,2012,Action,Dan Bradley
Halloween,6.5,2018,Crime,David Gordon Green
The Twilight Saga: New Moon,4.7,2009,Adventure,Chris Weitz
The Book Thief,7.5,2013,Drama,Brian Percival
Robots,6.4,2005,Animation,Chris Wedge
Pandorum,6.7,2009,Action,Christian Alvart
First Blood,7.7,1982,Action,Ted Kotcheff
Silent Hill,6.5,2006,Horror,Christophe Gans
Das Boot,8.4,1981,Drama,Wolfgang Petersen
Philadelphia,7.7,1993,Drama,Jonathan Demme
Green Room,7,2015,Crime,Jeremy Saulnier
That Thing You Do!,6.9,1996,Comedy,Tom Hanks
Zathura: A Space Adventure,6.2,2005,Action,Jon Favreau
St. Vincent,7.2,2014,Comedy,Theodore Melfi
Species,5.8,1995,Action,Roger Donaldson
He's All That,4.3,2021,Comedy,Mark Waters
Lara Croft: Tomb Raider,5.7,2001,Action,Simon West
Little Children,7.5,2006,Drama,Todd Field
After Earth,4.8,2013,Action,M. Night Shyamalan
Dog Day Afternoon,8,1975,Biography,Sidney Lumet
The Age of Innocence,7.2,1993,Drama,Martin Scorsese
Ghostbusters II,6.6,1989,Action,Ivan Reitman
Summer School,6.6,1987,Comedy,Carl Reiner
Glengarry Glen Ross,7.7,1992,Crime,James Foley
I Now Pronounce You Chuck & Larry,5.9,2007,Comedy,Dennis Dugan
I Don't Feel at Home in This World Anymore,6.9,2017,Comedy,Macon Blair
Basic Instinct 2,4.3,2006,Drama,Michael Caton-Jones
Demolition Man,6.7,1993,Action,Marco Brambilla
Risky Business,6.8,1983,Comedy,Paul Brickman
Magic Mike XXL,5.6,2015,Comedy,Gregory Jacobs
Tarzan,7.3,1999,Animation,Kevin Lima
Trading Places,7.5,1983,Comedy,John Landis
The Blair Witch Project,6.5,1999,Horror,Eduardo Sánchez
Begin Again,7.4,2013,Comedy,John Carney
High Life,5.8,2018,Adventure,Claire Denis
Dawn of the Planet of the Apes,7.6,2014,Action,Matt Reeves
The Visit,6.2,2015,Horror,M. Night Shyamalan
Tolkien,6.8,2019,Biography,Dome Karukoski
Austin Powers: The Spy Who Shagged Me,6.6,1999,Action,Jay Roach
Menace II Society,7.5,1993,Crime,Allen Hughes
The Hyperions,5.7,2022,Action,Jon McDonald
Oz the Great and Powerful,6.3,2013,Adventure,Sam Raimi
Crush,5.6,2013,Horror,Malik Bader
The Wolverine,6.7,2013,Action,James Mangold
Creed,7.6,2015,Action,Ryan Coogler
One Hour Photo,6.8,2002,Drama,Mark Romanek
Mississippi Burning,7.8,1988,Crime,Alan Parker
Revolutionary Road,7.3,2008,Drama,Sam Mendes
Kiss Kiss Bang Bang,7.5,2005,Comedy,Shane Black
The Brown Bunny,4.9,2003,Drama,Vincent Gallo
Three Amigos!,6.5,1986,Comedy,John Landis
Halloween,6,2007,Horror,Rob Zombie
Only Lovers Left Alive,7.2,2013,Comedy,Jim Jarmusch
Adaptation.,7.7,2002,Comedy,Spike Jonze
Being John Malkovich,7.8,1999,Comedy,Spike Jonze
Spenser Confidential,6.2,2020,Action,Peter Berg
Hanna,6.8,2011,Action,Joe Wright
Wrath of the Titans,5.7,2012,Action,Jonathan Liebesman
High Fidelity,7.5,2000,Comedy,Stephen Frears
Fracture,7.2,2007,Crime,Gregory Hoblit
American Pie 2,6.4,2001,Comedy,J.B. Rogers
Where the Wild Things Are,6.7,2009,Adventure,Spike Jonze
Wall Street,7.3,1987,Crime,Oliver Stone
All Good Things,6.3,2010,Crime,Andrew Jarecki
Rosemary's Baby,8,1968,Drama,Roman Polanski
Deadly Illusions,3.7,2021,Drama,Anna Elizabeth James
Get Him to the Greek,6.3,2010,Comedy,Nicholas Stoller
X,5.5,2011,Crime,Jon Hewitt
Freaks,6.7,2018,Drama,Adam B. Stein
The Lego Movie 2: The Second Part,6.6,2019,Animation,Mike Mitchell
The Rite,6,2011,Drama,Mikael Håfström
Widows,6.9,2018,Crime,Steve McQueen
Slither,6.5,2006,Comedy,James Gunn
Burn After Reading,7,2008,Comedy,Joel Coen
Pompeii,5.5,2014,Action,Paul W.S. Anderson
Romy and Michele's High School Reunion,6.3,1997,Comedy,David Mirkin
The Pink Panther,7.1,1963,Comedy,Blake Edwards
Stalker,8.1,1979,Drama,Andrei Tarkovsky
The Emperor's New Groove,7.4,2000,Animation,Mark Dindal
Men in Black II,6.1,2002,Action,Barry Sonnenfeld
Tommy Boy,7.1,1995,Adventure,Peter Segal
Executive Decision,6.5,1996,Action,Stuart Baird
The Last Witch Hunter,5.9,2015,Action,Breck Eisner
Terminator Salvation,6.5,2009,Action,McG
Illusions perdues,7.5,2021,Drama,Xavier Giannoli
A Rainy Day in New York,6.5,2019,Comedy,Woody Allen
Shakespeare in Love,7.1,1998,Comedy,John Madden
Inferno,6.2,2016,Action,Ron Howard
On the Waterfront,8.1,1954,Crime,Elia Kazan
Charade,7.9,1963,Comedy,Stanley Donen
Brazen,4,2022,Crime,Monika Mitchell
Fistful of Vengeance,4.5,2022,Action,Roel Reiné
Heavenly Creatures,7.3,1994,Biography,Peter Jackson
The Elephant Man,8.2,1980,Biography,David Lynch
The Counselor,5.4,2013,Crime,Ridley Scott
Before Midnight,7.9,2013,Drama,Richard Linklater
Jungle,6.7,2017,Action,Greg McLean
Logan Lucky,7,2017,Action,Steven Soderbergh
Låt den rätte komma in,7.9,2008,Drama,Tomas Alfredson
Texas Chainsaw 3D,4.8,2013,Horror,John Luessenhop
The Brady Bunch Movie,6.1,1995,Comedy,Betty Thomas
August: Osage County,7.2,2013,Comedy,John Wells
Prince of Persia: The Sands of Time,6.6,2010,Action,Mike Newell
Alive,7.1,1993,Biography,Frank Marshall
Awake,4.8,2021,Action,Mark Raso
The Promise,6.5,2016,Action,Terry George
The Boy Next Door,4.7,2015,Thriller,Rob Cohen
National Lampoon's Van Wilder,6.4,2002,Comedy,Walt Becker
The Nan Movie,4.9,2022,Comedy,Director
Spy,7,2015,Action,Paul Feig
Pitch Black,7.1,2000,Action,David Twohy
Hasta que nos volvamos a encontrar,5.7,2022,Comedy,Bruno Ascenzo
Six Days Seven Nights,5.8,1998,Action,Ivan Reitman
Die Another Day,6.1,2002,Action,Lee Tamahori
Sully,7.4,2016,Biography,Clint Eastwood
Evan Almighty,5.4,2007,Comedy,Tom Shadyac
La piel que habito,7.6,2011,Drama,Pedro Almodóvar
The French Connection,7.7,1971,Action,William Friedkin
Fear,6.2,1996,Drama,James Foley
Bachelor Party,6.3,1984,Comedy,Neal Israel
Equilibrium,7.4,2002,Action,Kurt Wimmer
The Rocketeer,6.5,1991,Action,Joe Johnston
The Conjuring 2,7.3,2016,Horror,James Wan
The Novice,6.5,2021,Drama,Lauren Hadaway
Monster's Ball,7.1,2001,Drama,Marc Forster
The Cave,5.1,2005,Adventure,Bruce Hunt
La montaña sagrada,7.8,1973,Adventure,Alejandro Jodorowsky
The Illusionist,7.6,2006,Drama,Neil Burger
Say Anything...,7.3,1989,Comedy,Cameron Crowe
Drag Me to Hell,6.6,2009,Horror,Sam Raimi
Cars 2,6.2,2011,Animation,Bradford Lewis
Seven Psychopaths,7.1,2012,Comedy,Martin McDonagh
Fractured,6.4,2019,Thriller,Brad Anderson
The Conversation,7.8,1974,Drama,Francis Ford Coppola
Wreck-It Ralph,7.7,2012,Animation,Rich Moore
The Bodyguard,6.3,1992,Action,Mick Jackson
The Internship,6.3,2013,Comedy,Shawn Levy
Jack Reacher: Never Go Back,6.1,2016,Action,Edward Zwick
Nineteen Eighty-Four,7.1,1984,Drama,Michael Radford
Dr. No,7.2,1962,Action,Terence Young
Dangerous Liaisons,7.6,1988,Drama,Stephen Frears
Trolls World Tour,6.1,2020,Animation,David P. Smith
Air Force One,6.5,1997,Action,Wolfgang Petersen
Fantastic Four,5.7,2005,Action,Tim Story
Teenage Mutant Ninja Turtles,5.8,2014,Action,Jonathan Liebesman
Hunting Souls,4,2022,Horror,Diego Silva Acevedo
Anaconda,4.8,1997,Action,Luis Llosa
Just One of the Guys,6.4,1985,Comedy,Lisa Gottlieb
Isle of Dogs,7.8,2018,Animation,Wes Anderson
Four Good Days,6.4,2020,Drama,Rodrigo García
Black Mass,6.9,2015,Biography,Scott Cooper
The Abyss,7.5,1989,Adventure,James Cameron
Can't Hardly Wait,6.5,1998,Comedy,Deborah Kaplan
North by Northwest,8.3,1959,Adventure,Alfred Hitchcock
Close Encounters of the Third Kind,7.6,1977,Drama,Steven Spielberg
My Best Friend's Wedding,6.3,1997,Comedy,P.J. Hogan
Elektra,4.7,2005,Action,Rob Bowman
The Frozen Ground,6.4,2013,Crime,Scott Walker
Carlito's Way,7.9,1993,Crime,Brian De Palma
Hot Shots!,6.7,1991,Action,Jim Abrahams
The Wrong Missy,5.7,2020,Comedy,Tyler Spindel
Network,8.1,1976,Drama,Sidney Lumet
All the Bright Places,6.5,2020,Drama,Brett Haley
Time Trap,6.2,2017,Action,Ben Foster
Deep Blue Sea,5.9,1999,Action,Renny Harlin
Brimstone,7,2016,Drama,Martin Koolhoven
8MM,6.5,1999,Crime,Joel Schumacher
Before Sunset,8.1,2004,Drama,Richard Linklater
Rise of the Planet of the Apes,7.6,2011,Action,Rupert Wyatt
The Twilight Saga: Breaking Dawn - Part 1,4.9,2011,Adventure,Bill Condon
Hush,6.6,2016,Horror,Mike Flanagan
All My Friends Hate Me,5.8,2021,Comedy,Andrew Gaynord
The Babadook,6.8,2014,Horror,Jennifer Kent
Cop Out,5.5,2010,Action,Kevin Smith
Hide and Seek,4,2021,Mystery,Joel David Moore
Instant Family,7.3,2018,Comedy,Sean Anders
Wet Hot American Summer,6.5,2001,Comedy,David Wain
Waiting...,6.7,2005,Comedy,Rob McKittrick
Jurassic Park III,5.9,2001,Action,Joe Johnston
A Bronx Tale,7.8,1993,Crime,Robert De Niro
Competencia oficial,7.3,2021,Comedy,Gastón Duprat
Angels & Demons,6.7,2009,Action,Ron Howard
The Haunting of Pendle Hill,3.1,2022,Horror,Richard John Taylor
Blithe Spirit,5.4,2020,Comedy,Edward Hall
Passing,6.7,2021,Drama,Rebecca Hall
L'uomo che guarda,5.5,1994,Drama,Tinto Brass
The Three Musketeers,5.7,2011,Action,Paul W.S. Anderson
Chloe,6.3,2009,Drama,Atom Egoyan
Cabaret,7.8,1972,Drama,Bob Fosse
The Poseidon Adventure,7.1,1972,Action,Ronald Neame
Only the Brave,7.6,2017,Action,Joseph Kosinski
Sophie's Choice,7.5,1982,Drama,Alan J. Pakula
Heist,6.5,2001,Action,David Mamet
Ralph Breaks the Internet,7,2018,Animation,Rich Moore
The Living Daylights,6.7,1987,Action,John Glen
Disobedience,6.6,2017,Drama,Sebastián Lelio
13 Minutes,4.6,2021,Action,Lindsay Gossling
Barbarella,5.8,1968,Adventure,Roger Vadim
Ma,5.6,2019,Horror,Tate Taylor
The Guest,6.7,2014,Action,Adam Wingard
Basmati Blues,3.7,2017,Comedy,Dan Baron
Life of Brian,8,1979,Comedy,Terry Jones
Scooby-Doo 2: Monsters Unleashed,5.1,2004,Adventure,Raja Gosnell
The Way Back,6.7,2020,Drama,Gavin O'Connor
Mission: Impossible II,6.1,2000,Action,John Woo
The Wedding Singer,6.9,1998,Comedy,Frank Coraci
Clean,5.6,2021,Action,Paul Solet
When Harry Met Sally...,7.7,1989,Comedy,Rob Reiner
Hollow Man,5.8,2000,Action,Paul Verhoeven
Zvyozdniy razum,3.4,2022,Adventure,Serik Beyseu
Vivo,6.7,2021,Animation,Kirk DeMicco
Paddington,7.2,2014,Adventure,Paul King
Pineapple Express,6.9,2008,Action,David Gordon Green
Synchronic,6.2,2019,Drama,Aaron Moorhead
The Assistant,6.3,2019,Drama,Kitty Green
Tonari no Totoro,8.1,1988,Animation,Hayao Miyazaki
Possession,7.3,1981,Drama,Andrzej Zulawski
Ghost Ship,5.5,2002,Horror,Steve Beck
Dennis the Menace,5.6,1993,Comedy,Nick Castle
Terminator 3: Rise of the Machines,6.3,2003,Action,Jonathan Mostow
Kingpin,6.9,1996,Comedy,Bobby Farrelly
Carol,7.2,2015,Drama,Todd Haynes
Anthropoid,7.2,2016,Action,Sean Ellis
Brick,7.2,2005,Action,Rian Johnson
The Jerk,7.1,1979,Comedy,Carl Reiner
The Number 23,6.4,2007,Crime,Joel Schumacher
White Men Can't Jump,6.8,1992,Comedy,Ron Shelton
Rushmore,7.6,1998,Comedy,Wes Anderson
Perfume: The Story of a Murderer,7.5,2006,Crime,Tom Tykwer
This Is Spinal Tap,7.9,1984,Comedy,Rob Reiner
The Cellar,5.3,2022,Horror,Brendan Muldowney
The Night Clerk,5.5,2020,Crime,Michael Cristofer
La pianiste,7.5,2001,Drama,Michael Haneke
Hudson Hawk,5.7,1991,Action,Michael Lehmann
Eragon,5.1,2006,Action,Stefen Fangmeier
On Her Majesty's Secret Service,6.8,1969,Action,Peter R. Hunt
Smokin' Aces,6.6,2006,Action,Joe Carnahan
Return to the Blue Lagoon,5.1,1991,Adventure,William A. Graham
Just Mercy,7.6,2019,Biography,Destin Daniel Cretton
Ri¢hie Ri¢h,5.4,1994,Comedy,Donald Petrie
Mary Poppins Returns,6.7,2018,Adventure,Rob Marshall
I Am Number Four,6.1,2011,Action,D.J. Caruso
Fame,6.6,1980,Drama,Alan Parker
Predators,6.4,2010,Action,Nimród Antal
Anastasia,7.1,1997,Animation,Don Bluth
The Dark Tower,5.6,2017,Action,Nikolaj Arcel
Flash Gordon,6.5,1980,Action,Mike Hodges
The Ipcress File,7.2,1965,Thriller,Sidney J. Furie
I Am Sam,7.6,2001,Drama,Jessie Nelson
The Magnificent Seven,7.7,1960,Action,John Sturges
The Endless,6.5,2017,Drama,Aaron Moorhead
Akira,8,1988,Animation,Katsuhiro Ôtomo
Wild at Heart,7.2,1990,Comedy,David Lynch
The Butler,7.2,2013,Biography,Lee Daniels
Roma,7.7,2018,Drama,Alfonso Cuarón
The Hundred-Foot Journey,7.3,2014,Comedy,Lasse Hallström
Sing Street,7.9,2016,Comedy,John Carney
The Last House on the Left,6.5,2009,Horror,Dennis Iliadis
Dora and the Lost City of Gold,6.1,2019,Action,James Bobin
M - Eine Stadt sucht einen Mörder,8.3,1931,Crime,Fritz Lang
Southpaw,7.4,2015,Action,Antoine Fuqua
End of Watch,7.6,2012,Action,David Ayer
Revenge of the Nerds,6.6,1984,Comedy,Jeff Kanew
Way Down,6.4,2021,Action,Jaume Balagueró
Evil Under the Sun,7,1982,Crime,Guy Hamilton
Howard the Duck,4.7,1986,Action,Willard Huyck
Chung Hing sam lam,8,1994,Comedy,Kar-Wai Wong
Blood Red Sky,6.1,2021,Action,Peter Thorwarth
I See You,6.8,2019,Crime,Adam Randall
The Bourne Supremacy,7.7,2004,Action,Paul Greengrass
Mashina lyubvi,4.1,2016,Drama,Pavel Ruminov
My Big Fat Greek Wedding,6.6,2002,Comedy,Joel Zwick
Let's Be Cops,6.4,2014,Action,Luke Greenfield
Traffic,7.6,2000,Crime,Steven Soderbergh
On Moonlight Bay,7,1951,Comedy,Roy Del Ruth
Nine Days,6.8,2020,Drama,Edson Oda
Precious,7.3,2009,Drama,Lee Daniels
Koe no katachi,8.1,2016,Animation,Naoko Yamada
The Lucky One,6.4,2012,Drama,Scott Hicks
Good Luck Chuck,5.6,2007,Comedy,Mark Helfrich
But I'm a Cheerleader,6.7,1999,Comedy,Jamie Babbit
Australia,6.6,2008,Adventure,Baz Luhrmann
Bedazzled,6.1,2000,Comedy,Harold Ramis
Criminal,6.3,2016,Action,Ariel Vromen
The Devils,7.8,1971,Biography,Ken Russell
Brute Force,7.6,1947,Crime,Jules Dassin
The Bourne Legacy,6.6,2012,Action,Tony Gilroy
Flightplan,6.3,2005,Drama,Robert Schwentke
Ambulancen,5.3,2005,Action,Laurits Munch-Petersen
The Midnight Sky,5.6,2020,Adventure,George Clooney
City Slickers,6.8,1991,Comedy,Ron Underwood
Curiosa,5.4,2019,Biography,Lou Jeunet
Major League,7.2,1989,Comedy,David S. Ward
Fried Green Tomatoes,7.7,1991,Drama,Jon Avnet
Mama,6.2,2013,Fantasy,Andy Muschietti
Gandhi,8.1,1982,Biography,Richard Attenborough
Swan Song,6.8,2021,Drama,Benjamin Cleary
Sweet Girl,5.5,2021,Action,Brian Andrew Mendoza
Billy Madison,6.3,1995,Comedy,Tamra Davis
Waiting for the Barbarians,5.9,2019,Drama,Ciro Guerra
Lost Highway,7.6,1997,Mystery,David Lynch
Wild,7.1,2014,Adventure,Jean-Marc Vallée
Jupiter Ascending,5.3,2015,Action,Lilly Wachowski
A Walk to Remember,7.3,2002,Drama,Adam Shankman
Ordinary People,7.7,1980,Drama,Robert Redford
2 Guns,6.7,2013,Action,Baltasar Kormákur
Lover Come Back,7.2,1961,Comedy,Delbert Mann
G.I. Joe: Retaliation,5.7,2013,Action,Jon M. Chu
Role Models,6.8,2008,Comedy,David Wain
Babel,7.5,2006,Drama,Alejandro G. Iñárritu
Steve Jobs,7.2,2015,Biography,Danny Boyle
Finding Dory,7.3,2016,Animation,Andrew Stanton
The Wedding Ringer,6.6,2015,Comedy,Jeremy Garelick
Journey 2: The Mysterious Island,5.7,2012,Action,Brad Peyton
The Expendables 2,6.6,2012,Action,Simon West
Despicable Me 2,7.3,2013,Animation,Chris Renaud
Meet the Parents,7,2000,Comedy,Jay Roach
Seven Pounds,7.6,2008,Drama,Gabriele Muccino
The Mortal Instruments: City of Bones,5.8,2013,Action,Harald Zwart
Love Story,6.9,1970,Drama,Arthur Hiller
Adventureland,6.8,2009,Comedy,Greg Mottola
Judy,6.8,2019,Biography,Rupert Goold
The Bridge on the River Kwai,8.2,1957,Adventure,David Lean
A Fish Called Wanda,7.5,1988,Comedy,Charles Crichton
Jhund,9,2022,Biography,Nagraj Manjule
All About Eve,8.2,1950,Drama,Joseph L. Mankiewicz
Leap Year,6.4,2010,Comedy,Anand Tucker
Takers,6.2,2010,Action,John Luessenhop
Ice Age: Continental Drift,6.5,2012,Animation,Michael Thurmeier
Batoru rowaiaru,7.6,2000,Action,Kinji Fukasaku
Mannequin,5.9,1987,Comedy,Michael Gottlieb
The Devil's Own,6.2,1997,Action,Alan J. Pakula
Mission: Impossible III,6.9,2006,Action,J.J. Abrams
Monsters University,7.3,2013,Animation,Dan Scanlon
Super,6.7,2010,Action,James Gunn
Tag,6.5,2018,Action,Jeff Tomsic
The Right Stuff,7.8,1983,Adventure,Philip Kaufman
Kung Fu Panda 3,7.1,2016,Animation,Jennifer Yuh Nelson
Chitty Chitty Bang Bang,6.9,1968,Adventure,Ken Hughes
The Losers,6.3,2010,Action,Sylvain White
Scary Movie 3,5.5,2003,Comedy,David Zucker
Goldfinger,7.7,1964,Action,Guy Hamilton
The Crying Game,7.2,1992,Crime,Neil Jordan
Primer,6.8,2004,Drama,Shane Carruth
9 Songs,4.8,2004,Drama,Michael Winterbottom
The Guernsey Literary and Potato Peel Pie Society,7.3,2018,Drama,Mike Newell
Come Fly with Me,6.2,1963,Comedy,Henry Levin
Dragonball Evolution,2.6,2009,Action,James Wong
Burlesque,6.4,2010,Drama,Steve Antin
Mask,7.2,1985,Biography,Peter Bogdanovich
Horrible Bosses 2,6.3,2014,Comedy,Sean Anders
Solyaris,8,1972,Drama,Andrei Tarkovsky
Resident Evil: Retribution,5.3,2012,Action,Paul W.S. Anderson
